version 2, schema unit_abilities_tables, guid 0dd50271-15ae-4f7a-b283-ed78ea471c73
Unit_Ability_ID(string)	Defensive_Ability(boolean)	Obsoletes(optstring)	Researchable_Technology_x0020__x0028__x003F__x0029_(boolean)	unknown5(optstring)	unknown6(optstring)	unknown7(optstring)
"active_hiding"	false	nil	false	"Stealth"	"This unit can become extremely stealthy for a short period of time, remaining hidden even when running. "	"Stealth||For a short duration, this enables a unit to hide on any ground type and remain hidden even while running.||While activated, it also provides a bonus to charge and melee attacks."
"anti_rally"	false	nil	false	"Anti-rally"	"Rally ability negatively affects morale of enemy units."	"Anti-rally"
"artillery_accuracy_boost"	false	nil	false	"Increased Accuracy"	"This unit can increase its shooting accuracy for a short period of time.  "	"Targeted Fire||This increases accuracy for a short amount of time.||Once activated, there will be a cooling off period before the ability can be used again."
"artillery_rof_boost"	false	nil	false	"Rate of Fire"	"This unit can increase its firing rate for a short period of time. "	"Barrage||This increases the rate of fire for a short time.|| Once activated, there will be a cooling off period before the ability can be used again."
"bamboo_wall"	false	nil	false	"Bamboo Wall "	"A large wall that can be erected during the deployment phase. It blocks the movement of enemies and protects against cavalry charges. "	nil
"banzai"	false	nil	true	"Banzai"	"This unit can enter into a frenzied state for a short period of time, temporarily increasing its speed, charge and melee attacks, and making it unbreakable. "	"Banzai||This temporarily gives the unit unbreakable morale, plus an increase in movement speed and melee and charge attacks.||Once it has finished, the unit's speed, charge and melee attacks are greatly reduced for a short time."
"banzai_naval"	false	nil	false	"Banzai"	"This crew can enter into a frenzied state for a short period of time, temporarily increasing their morale, attack and defensive capabilities, making them unbreakable."	"Banzai||This temporarily gives the crew unbreakable morale, plus an increase in attack and defensive capabilities."
"battle_speed_naval"	false	nil	false	"Battle Speed"	"This increases a ship's rowing speed for a short period of time."	"Battle speed||This increases a ship's rowing speed for a short period of time.||Once activated, there will be a cooling off period before the ability can be used again."
"blinding_grenade"	false	nil	true	"Blinding Grenades"	"This unit can use blinding grenades to disorientate the enemy, affecting their speed, combat ability and missile accuracy. "	"Blinding Grenades||Blinding grenades disorientate the enemy, reducing their melee attacks, movement speed and drastically affecting their missile accuracy."
"cantabrian_circle"	false	nil	true	"Swooping Crane "	"This unit can arrange itself into a moving circular formation, harrassing the enemy with a constant rate of fire."	"Swooping Crane||This arranges a cavalry unit into a moving, circular formation, enabling them to fire a constant rate of missiles at the enemy.||Because they are constantly moving, the horses will lose stamina while the ability is active."
"chevaux_de_frise"	true	nil	false	nil	nil	nil
"column_formation"	false	nil	false	nil	nil	nil
"diamond_formation"	false	"wedge_formation"	false	"Diamond Formation"	"An evolution of the wedge formation, the diamond formation is even more effective at disrupting enemy formations"	"Toggle diamond formation||Diamond formation allows your cavalry to change direction in a much more timely manner.||It also provides your cavalry units with a charge bonus."
"earthworks"	true	nil	false	nil	nil	nil
"encourage_fleet"	false	nil	false	"Encourage Fleet"	"Some command ships can encourage other vessels within their area of influence, increasing their melee attack, reload skill and accuracy."	"Encourage Fleet||Some command ships can encourage other vessels within their area of influence, increasing their melee attack, reload skill and accuracy.||Once this ability has been activated, you will have to wait a while before using it again."
"faster_reload_naval"	false	nil	false	"Fast Reload"	"This increases the reload skill of a ship's crew for a short period of time."	"Fast Reload||This increases reload skill for a short amount of time.||Once complete, reload skill is reduced for a short time."
"faster_rowing"	false	nil	false	"Faster Rowing"	"This increases a ship's rowing speed and lasts considerably longer than the battle speed ability."	"Faster rowing||This increases a ship's rowing speed and lasts considerably longer than the battle speed ability."
"fire_and_advance"	false	nil	false	"Fire and Advance Drill"	"This unit can advance by rank, claiming ground whilst maintaining a steady rate of fire"	"Toggle fire and advance mode||Fire and advance provides constant covering fire whilst still advancing on the enemy.||Due to the complicated nature of reloading and moving through the forward lines, fire in advance is a very slow moving advancing technique."
"fire_mounted"	false	nil	false	nil	nil	nil
"fire_volley"	false	nil	false	nil	nil	nil
"flaming_arrows_ability"	false	nil	true	"Flaming Arrows"	"This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather."	"Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again."
"flaming_arrows_extreme_range_ability"	false	nil	true	"Flaming Arrows"	"This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather."	"Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again."
"flaming_arrows_long_range_ability"	false	nil	true	"Flaming Arrows"	"This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather."	"Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again."
"flaming_arrows_naval"	false	nil	true	"Flaming Arrows"	"This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather."	"Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again."
"fougasse_basic"	true	nil	false	nil	nil	nil
"fougasse_improved"	true	"fougasse_basic"	false	nil	nil	nil
"gabionade"	true	nil	false	nil	nil	nil
"ganbatte"	false	nil	false	"Ganbatte"	"This ability allows the general to encourage a single unit for a short period of time, further boosting their morale and greatly improving their accuracy and melee skills."	"Ganbatte||This ability greatly increases the general's area of influence, further boosting the morale of units and increasing their melee attack and rate of fire."
"heroic_assault"	false	nil	false	"Heroic Assault"	"This ability improves the morale and movement speed, and reduces the fatigue of nearby friendly units."	"Heroic Assault.||This boosts the morale and movement speed of nearby friendly units.||It also reduces their fatigue."
"improved_platoon_fire_grouped"	false	"platoon_fire_grouped"	false	nil	nil	nil
"inspire_unit"	false	nil	false	"Inspire Unit"	"This unit can choose to inspire a single unit for a short period of time, boosting their morale and greatly improving their marksmanship and melee skills."	"Inspire||Left-click this button, then left-click on a unit to inspire them.||This unit can choose to inspire a single unit for a short period of time, boosting their morale and greatly improving their marksmanship and melee skills.||Once this ability has been activated, you will have to wait a while before using it again."
"kill_zone"	false	nil	false	"Kill Zone"	"This ability reduces this unitâ€™s firing arc but greatly increases its accuracy."	"Kill Zone||This ability improves the accuracy of this unit.||The firing arc is also reduced."
"kisho_training"	false	nil	false	"Kisho Training"	"This unit can be deployed outside of the deployment zone."	nil
"kneel_fire_ability"	false	nil	true	"Kneel Fire"	"The first rank of this unit will kneel to allow the first two ranks to fire simultaneously."	"Kneel Fire||This ability works when the unit is stationary.|| The first rank of this unit will kneel to allow the first two ranks to fire simultaneously."
"light_infantry_behaviour"	false	nil	false	"Light Infantry Tactics"	"Spreading out to find cover helps to reduce casualties"	"Toggle light infantry behaviour||Light infantry behaviour orders your troops to spread out and find cover.||This is very effective if your troops are under artillery fire."
"mass_fire"	false	"fire_volley"	false	nil	nil	nil
"overcharge_engine"	false	nil	false	"Overheat Engine "	"This increases a ship's speed for a short period of time."	"Overheat Engine||This temporarily increases a ship's speed but also the chance that its engine will explode."
"pavisse_deployable"	false	nil	false	"Screens"	"A shield that can be erected during the deployment phase when you are defending. It impedes the movement of enemies, and blocks enemy projectiles."	nil
"pike_square_formation"	false	nil	true	"Yari Square Formation"	"The yari square is an immobile solid square of men presenting a wall of yari on all sides to deter cavalry attack."	"Toggle spear square formation||This defensive formation is especially effective against cavalry charges.||While in this formation, the unit will be immobile and vulnerable to ranged attacks."
"pike_wall_formation"	false	nil	false	"Yari Wall"	"A tight-packed formation presenting a wall of yari to the front to deter enemy cavalry attack"	"Toggle yari wall formation||This formation is effective against head on cavalry charges.||However, it is vulnerable to flanking manoeuvres."
"platoon_fire_grouped"	false	"rank_fire"	false	nil	nil	nil
"plug_bayonets"	false	nil	false	"Plug Bayonet"	"Provide melee bonuses, particularly against charging units, but prevent further firing once fixed"	"Toggle plug bayonets||Fixing bayonets allows units to engage in melee attacks.||Once plug bayonets are fixed the units can no longer fire their weapons."
"rally"	false	nil	false	"Rally"	"This unit can rally troops within his area of influence."	"Rally||This unit can rally troops within its area of influence, shown by the red circle.||All non-routing units within will receive a morale boost, while it will rally routing units. ||Once this ability has been activated, you will have to wait a while before using it again."
"rally_naval"	false	nil	false	"Rally"	"This ship can rally others within its area of influence."	"Rally||This ship can rally crews within its area of influence, shown by the red circle.||All non-routing ships will receive a morale boost, while it will rally routing ships. ||Once this ability has been activated, you will have to wait a while before using it again."
"rally_position"	false	nil	false	"Regroup Position "	"This general can declare a rally position for withdrawing and routing units to pull back to, and reinforcing units to move towards."	"Regroup Position||Left-click on this button, then left-click on the area of the battlefield where you want reinforcing or routing units to fall back to.||If you click outside of your general's area of influence he will automatically ride into range before placing the marker."
"ram_naval"	false	nil	true	"Ramming"	"This ship can ram others, causing damage to both the enemy and itself."	"Ramming||This temporarily increases a ship's speed but decreases its manoeuvrability and switches off its avoidance capability."
"range_effect"	false	nil	false	"Increased Range"	"This temporarily increases a unit's firing range. "	"Increased Range||For a short time, this increases the firing range of a unit.||Once activated, there will be a cooling off period before the ability can be used again."
"rank_fire"	false	"mass_fire"	false	"Fire by Rank"	"Will fire by rank from front to rear, each rank kneeling to reload and allowing those behind a clear field of fire."	"Toggle ranked fire ability||This forms a unit into rank from front to rear, each rank kneeling to reload and allowing those behind a clear field of fire.||While in this formation, they take longer to form up and fire."
"rapid_advance"	false	nil	false	"Rapid Advance"	"Increases a unit's movement speed and charge bonus for a short period of time. "	"Rapid Advance||This increases a unit's speed and charge bonus for a short period of time.||Once activated, there will be a cooling off period before the ability can be used again."
"rapid_volley"	false	nil	false	"Rapid Volley"	"Temporarily increases a unit's rate of fire."	"Rapid Volley||This increases a unit's rate of fire for a short period of time.||Once activated, there will be a cooling off period before the ability can be used again."
"ring_bayonets"	false	"plug_bayonets"	false	nil	nil	"Toggle ring bayonets||Fixing bayonets allows units to engage in melee attacks.||Ring bayonets allow units to continue firing after fixing bayonet. ||Due to their design, ring bayonets slow the reload times of your units.This makes for deadly close range combat."
"second_wind"	false	nil	false	"Second Wind"	"This restores a portion of nearby units' stamina, allowing them to fight longer and harder."	"Second Wind||This reduces fatigue of the activating unit and affects up to three units within its area of influence.||Once this ability has been activated, you will have to wait a while before using it again."
"shrapnel_shot"	false	nil	false	"Shrapnel Shot"	"This shell explodes mid-air, sending deadly metal fragments down upon targeted enemy units. Once activated, there will be a cooling-off period before the ability can be used again."	"Shrapnel Shot ||This shell explodes mid-air, sending deadly metal fragments down upon targeted enemy units.|| Once activated, there will be a cooling-off period before the ability can be used again."
"socket_bayonets"	false	"ring_bayonets"	false	"Socket Bayonet"	"Provide melee bonuses, particularly against charging units."	nil
"square_formation"	false	"pike_square_formation"	true	"Spear Square Formation"	"The spear square is an immobile solid square of men presenting a wall of spears on all sides to deter cavalry attack"	"Toggle spear square formation||This defensive formation is especially effective against cavalry charges.||While in this formation, the unit will be immobile and vulnerable to ranged attacks."
"stand_firm"	false	nil	false	"Hold Firm"	"This temporarily increases defence ability and stops morale from dropping, making the unit, and up to three nearby units, unbreakable for a short time. "	"Hold Firm||This greatly increases defence ability and stops morale from dropping, making the unit, and up to three nearby units, unbreakable for a short time.||While activated, the units affected will have reduced speed.||Once this ability has been activated, you will have to wait a while before using it again."
"suppression_fire"	false	nil	true	"Suppression Fire"	"This ability increases reload rate but lowers accuracy. Enemy units hit by suppression fire are slowed and suffer a morale penalty."	"Suppression Fire||This ability reduces accuracy and improves reload rate.||Enemy units hit whilst it is active will be slowed down and suffer a morale penalty."
"tower_faster_firing"	false	nil	false	"Increased Firing Speed"	"This tower can briefly increase it's rate of fire"	"Faster Firing||This tower can briefly increase it's rate of fire"
"tower_flaming_arrows"	false	nil	false	"Fire Arrows"	"This tower can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects."	"Fire Arrows||This tower can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects."
"tower_rapid_volley"	false	nil	false	"Rapid Volley"	"Temporarily increases a towers rate of fire."	"Rapid Volley||Temporarily increases a towers rate of fire."
"tower_suppression_fire"	false	nil	false	"Suppression Fire"	"This ability increases reload rate but lowers accuracy. Enemy units hit by suppression fire are slowed and suffer a morale penalty."	"Suppression Fire||This ability reduces accuracy and improves reload rate.||Enemy units hit whilst it is active will be slowed down and suffer a morale penalty."
"warcry"	false	nil	false	"Warcry"	"Warcry heavily demoralises up to four nearby enemy units, slowing them down and affecting their defence ability for a short time. "	"Warcry||This affects up to four nearby enemy units, heavily reducing their morale, melee defence and speed.||Once this ability has been activated, you will have to wait a while before using it again."
"warcry_naval"	false	nil	false	"Warcry"	"Warcry heavily demoralises up to seven nearby enemy units, slowing them down and affecting their defence ability for a short time. "	"Warcry||This affects up to seven nearby enemy units, heavily reducing their morale, melee defence and speed.||Once this ability has been activated, you will have to wait a while before using it again."
"we_stand_and_fight"	false	nil	true	"Stand and Fight"	"The general dismounts and forms up with his bodyguard around him. All friendly units within a large area have their melee attack, firing rate and morale greatly increased, but the general himself is left immobile and vulnerable until the ability is deactivated."	"Stand and Fight!||This greatly increases the general's area of influence, further increasing his morale boost of units within his area and increasing their melee attack and firing rate.||While activated, he cannot use his other abilities and is immobile and vulnerable to attack. "
"wedge_formation"	false	nil	true	"Wedge Formation"	"Trained to charge in a wedge formation in order to better penetrate enemy formations"	"Toggle wedge formation||Wedge formation improves the penetration of enemy lines, but will kill less enemies."
"whistling_arrows"	false	nil	false	"Whistling Arrows"	"Whistling arrows have an unsettling effect on both enemy and friendly troops, reducing their morale and combat ability for a short period when they fly over them."	"Whistling Arrows||Whistling arrows have a fearsome sound, adversely affecting the morale, melee attack and firing rate of all troops they fly over, friend or foe.||Once this ability has been activated, you will have to wait a while before using it again."
"whistling_arrows_ability"	false	nil	false	"Whistling Arrows"	"Whistling arrows have an unsettling effect on both enemy and friendly troops, reducing their morale and combat ability for a short period when they fly over them."	"Whistling Arrows||Whistling arrows have a fearsome sound, adversely affecting the morale, melee attack and firing rate of all troops they fly over, friend or foe.||Once this ability has been activated, you will have to wait a while before using it again."
"whistling_arrows_extreme_range_ability"	false	nil	false	"Whistling Arrows"	"Whistling arrows have an unsettling effect on both enemy and friendly troops, reducing their morale and combat ability for a short period when they fly over them."	"Whistling Arrows||Whistling arrows have a fearsome sound, adversely affecting the morale, melee attack and firing rate of all troops they fly over, friend or foe.||Once this ability has been activated, you will have to wait a while before using it again."
"whistling_arrows_long_range_ability"	false	nil	false	"Whistling Arrows"	"Whistling arrows have an unsettling effect on both enemy and friendly troops, reducing their morale and combat ability for a short period when they fly over them."	"Whistling Arrows||Whistling arrows have a fearsome sound, adversely affecting the morale, melee attack and firing rate of all troops they fly over, friend or foe.||Once this ability has been activated, you will have to wait a while before using it again."
"whistling_arrows_naval"	false	nil	false	"Whistling Arrows"	"Whistling arrows have an unsettling effect on both enemy and friendly crews, reducing their morale and combat ability for a short period when they fly over them."	"Whistling Arrows||Whistling arrows have a fearsome sound, adversely affecting the morale, melee attack and firing rate of all crews they fly over, friend or foe.||Once this ability has been activated, you will have to wait a while before using it again."
"wooden_stakes"	false	nil	false	"Stakes"	"Sharpened stakes can be used to deter enemy cavalry charges"	"Deploy Stakes||Deploying stakes provides a very effective barrier against cavalry charges.||Once deployed, stakes remain in place until the end of a battle, protecting the flanks of the army from cavalry attacks."
